DrugbankID	UniprotID	HGNC_ID	HGNC_Name	CID	CHEMBL	Entrez_ID	Entrez_Gene		
DB00694	P08183	HGNC:40	ABCB1	CID000030323	CHEMBL1200475|CHEMBL1563|CHEMBL178	5243	ABCB1
DB00696	P08183	HGNC:40	ABCB1	CID000008223	CHEMBL1200489|CHEMBL1697716|CHEMBL1743258|CHEMBL2062265|CHEMBL442	5243	ABCB1
DB00701	P08183	HGNC:40	ABCB1	CID000065016	CHEMBL116	5243	ABCB1
DB00704	P08183	HGNC:40	ABCB1	CID005360515	CHEMBL1201149|CHEMBL19019	5243	ABCB1
DB00709	P08183	HGNC:40	ABCB1	CID000060825	CHEMBL141|CHEMBL537885	5243	ABCB1
DB00715	P08183	HGNC:40	ABCB1	CID000043815	CHEMBL1200609|CHEMBL1256912|CHEMBL1708|CHEMBL490	5243	ABCB1
DB00717	P08183	HGNC:40	ABCB1	CID000006230	CHEMBL1162	5243	ABCB1
DB00722	P08183	HGNC:40	ABCB1	CID005362118	CHEMBL1237|CHEMBL1729579	5243	ABCB1
DB00726	P08183	HGNC:40	ABCB1	CID000005584	CHEMBL1200948|CHEMBL644	5243	ABCB1
DB00734	P08183	HGNC:40	ABCB1	CID000005073	CHEMBL85	5243	ABCB1
DB00741	P08183	HGNC:40	ABCB1	CID000005754	CHEMBL389621	5243	ABCB1
DB00742	P08183	HGNC:40	ABCB1	CID000000453	CHEMBL16105	5243	ABCB1
DB00747	P08183	HGNC:40	ABCB1	CID000005184		5243	ABCB1
DB00751	P08183	HGNC:40	ABCB1	CID000003241	CHEMBL1106|CHEMBL1200491	5243	ABCB1
DB00758	P08183	HGNC:40	ABCB1	CID000060606	CHEMBL1083385|CHEMBL1771	5243	ABCB1
DB00762	P08183	HGNC:40	ABCB1	CID000060837	CHEMBL1200512|CHEMBL481|CHEMBL541887	5243	ABCB1
DB00773	P08183	HGNC:40	ABCB1	CID000036462	CHEMBL44657	5243	ABCB1
DB00783	P08183	HGNC:40	ABCB1	CID000005757	CHEMBL1201021	5243	ABCB1
DB00790	P08183	HGNC:40	ABCB1	CID000107807	CHEMBL1581	5243	ABCB1
DB00796	P08183	HGNC:40	ABCB1	CID000002541	CHEMBL1016	5243	ABCB1
DB00802	P08183	HGNC:40	ABCB1	CID000051263	CHEMBL1200531|CHEMBL634	5243	ABCB1
DB00810	P08183	HGNC:40	ABCB1	CID000002381	CHEMBL1101|CHEMBL1201035|CHEMBL1201067	5243	ABCB1
DB00813	P08183	HGNC:40	ABCB1	CID000003345	CHEMBL1201159|CHEMBL596|CHEMBL688	5243	ABCB1
DB00829	P08183	HGNC:40	ABCB1	CID000003016	CHEMBL12|CHEMBL543191	5243	ABCB1
DB00831	P08183	HGNC:40	ABCB1	CID000005566	CHEMBL1257040|CHEMBL1710|CHEMBL422	5243	ABCB1
DB00834	P08183	HGNC:40	ABCB1	CID000055245	CHEMBL1276308	5243	ABCB1
DB00836	P08183	HGNC:40	ABCB1	CID000003954	CHEMBL1707|CHEMBL841	5243	ABCB1
DB00845	P08183	HGNC:40	ABCB1	CID000002794	CHEMBL1292	5243	ABCB1
DB00860	P08183	HGNC:40	ABCB1	CID000005755	CHEMBL131	5243	ABCB1
DB00863	P08183	HGNC:40	ABCB1	CID003001055	CHEMBL1092473|CHEMBL512	5243	ABCB1
DB00864	P08183	HGNC:40	ABCB1	CID000005372		5243	ABCB1
DB00875	P08183	HGNC:40	ABCB1	CID005281878	CHEMBL42055	5243	ABCB1
DB00877	P08183	HGNC:40	ABCB1	CID000005040		5243	ABCB1
DB00882	P08183	HGNC:40	ABCB1	CID001548954	CHEMBL167779	5243	ABCB1
DB00908	P08183	HGNC:40	ABCB1	CID000441074	CHEMBL1294|CHEMBL2165709	5243	ABCB1
DB00915	P08183	HGNC:40	ABCB1	CID000002130	CHEMBL1569|CHEMBL465617|CHEMBL660	5243	ABCB1
DB00921	P08183	HGNC:40	ABCB1			5243	ABCB1
